competenceId,nom,categorieId
AMELIORER,Améliorer,CHERCHER
ASSURER_LA_DIRECTION,Assurer la direction,MANAGER
DISCUTER,Discuter,COMMUNIQUER
ANTICIPER,Anticiper,ORGANISER_GERER
CONDUIRE,Conduire,MANAGER
ECHANGER,Echanger,COMMUNIQUER
APPRENDRE,Apprendre,ACCOMPAGNER
CONFIER,Confier,MANAGER
ECOUTER,Ecouter,COMMUNIQUER
CONSULTER,Consulter,CHERCHER
EXAMINER,Examiner,CONTROLER
COORDONNER,Coordonner,ORGANISER_GERER
ETUDIER,Etudier,CHERCHER
ELIMINER,Eliminer,DECIDER
INFORMER,Informer,VENDRE
ELABORER,Elaborer,CREER_PRODUIRE
PRESENTER,Présenter,COMMUNIQUER
REDIGER,Rédiger,COMMUNIQUER
PROMOUVOIR,Promouvoir,VENDRE
OPTIMISER,Optimiser,DEVELOPPER
PROSPECTER,Prospecter,CHERCHER
RECHERCHER,Rechercher,CHERCHER
TESTER,Tester,CONTROLER
TRANSFORMER,Transformer,CHERCHER
PILOTER,Piloter,MANAGER
VALIDER,Valider,CONTROLER
PRECONISER,Préconiser,CONSEILLER
TRANCHER,Trancher,DECIDER
VERIFIER,Vérifier,CONTROLER
PLANIFIER,Planifier,ORGANISER_GERER
RECOMMANDER,Recommander,CONSEILLER
METTRE_EN_PLACE,Mettre en place,CREER_PRODUIRE
PREVOIR,Prévoir,ORGANISER_GERER
SUPERVISER,Superviser,ORGANISER_GERER
ADAPTER,Adapter,CHERCHER
ASSISTER,Assister,CONSEILLER
DONNER_UN_AVIS,Donner un avis,CONSEILLER
CHOISIR,Choisir,DECIDER
DIAGNOSTIQUER,Diagnostiquer,CONTROLER
EVALUER,Evaluer,CONTROLER
CONSEILLER,Conseiller,CONSEILLER
INTERROGER,Interroger,COMMUNIQUER
IMAGINER,Imaginer,CHERCHER
PROGRAMMER,Programmer,ORGANISER_GERER
SENSIBILISER,Sensibiliser,CONSEILLER
EXPRIMER,Exprimer,COMMUNIQUER
COLLABORER,Collaborer,CONSEILLER
GUIDER,Guider,ACCOMPAGNER
PROPOSER,Proposer,NEGOCIER
MOBILISER,Mobiliser,MANAGER
SYNTHETISER,Synthétiser,ACCOMPAGNER
DIALOGUER,Dialoguer,COMMUNIQUER
ANALYSER,Analyser,DECIDER
APPLIQUER,Appliquer,CREER_PRODUIRE
BUDGETER,Budgéter,CONTROLER
AVERTIR,Avertir,CONSEILLER
CALCULER,Calculer,CHERCHER
DELEGUER,Déléguer,MANAGER
CONVAINCRE,Convaincre,NEGOCIER
ELARGIR,Elargir,DEVELOPPER
IMPLANTER,Implanter,DEVELOPPER
EXECUTER,Exécuter,CREER_PRODUIRE
FABRIQUER,Fabriquer,CREER_PRODUIRE
TRANSMETTRE,Transmettre,COMMUNIQUER
FAIRE,Faire,CREER_PRODUIRE
ORDONNER,Ordonner,MANAGER
RENTABILISER,Rentabiliser,DECIDER
FORMER,Former,CREER_PRODUIRE
SIMULER,Simuler,CHERCHER
SUGGERER,Suggérer,NEGOCIER
PREPARER,Préparer,CREER_PRODUIRE
REPARTIR,Répartir,ORGANISER_GERER
ARGUMENTER,Argumenter,NEGOCIER
DISTRIBUER,Distribuer,ORGANISER_GERER
RENSEIGNER,Renseigner,COMMUNIQUER
CREER,Créer,CHERCHER
REALISER,Réaliser,CREER_PRODUIRE
COMPOSER,Composer,CREER_PRODUIRE
OBSERVER,Observer,CHERCHER
FOURNIR,Fournir,CREER_PRODUIRE
ENQUETER,Enquêter,CONTROLER
MESURER,Mesurer,CONTROLER
PROGRESSER,Progresser,DEVELOPPER
STIMULER,Stimuler,DEVELOPPER
VALORISER,Valoriser,DEVELOPPER
ACCOMPAGNER,Accompagner,CONSEILLER
APPORTER,Apporter,CONSEILLER
CLARIFIER,Clarifier,CONSEILLER
DEVELOPPER,Développer,CONSEILLER
OFFRIR,Offrir,CONSEILLER
ORIENTER,Orienter,CONSEILLER
CONTRIBUER,Contribuer,CONSEILLER
AMENER_A,Amener à,CREER_PRODUIRE
CATALYSER,Catalyser,CREER_PRODUIRE
PROVOQUER,Provoquer,CREER_PRODUIRE
EFFECTUER,Effectuer,CREER_PRODUIRE
EQUIPER,Equiper,CREER_PRODUIRE
VERBES_RESULTAT_EN_GRAS_LES_PLUS_FREQUENTS,Verbes résultat en gras les plus fréquents,CREER_PRODUIRE
VERBES_MAITRISE_EN_GRAS_LES_PLUS_FREQUENTS,Verbes maîtrise en gras les plus fréquents,CREER_PRODUIRE
VERBES_PLAISIR_EN_GRAS_LES_PLUS_FREQUENTS,Verbes plaisir en gras les plus fréquents,CREER_PRODUIRE
AMENAGER,Aménager,ORGANISER_GERER
COMPTABLISER,Comptabliser,ORGANISER_GERER
EXPLOITER,Exploiter,ORGANISER_GERER
STRUCTURER,Structurer,ORGANISER_GERER
COMPTABILISER,Comptabiliser,ORGANISER_GERER
CONSOLIDER,Consolider,ORGANISER_GERER
ASSAINIR,Assainir,ORGANISER_GERER
CONCEVOIR,Concevoir,CHERCHER
EXPERIMENTER,Expérimenter,CHERCHER
INVENTER,Inventer,CHERCHER
ANIMER,Animer,MANAGER
DETERMINER,Déterminer,MANAGER
IMPULSER,Impulser,MANAGER
NEGOCIER,Négocier,MANAGER
INSPIRER,Inspirer,MANAGER
IMAGER,Imager,COMMUNIQUER
ENSEIGNER,Enseigner,ACCOMPAGNER
SPECIFIER,Spécifier,DECIDER
DEFINIR,Définir,DECIDER
RESOUDRE,Résoudre,DECIDER
PERSUADER,Persuader,NEGOCIER
CONCLURE,Conclure,NEGOCIER
SELECTIONNER,Sélectionner,NEGOCIER
APPRECIER,Apprécier,CONTROLER
CONQUERIR,Conquérir,DEVELOPPER
ENTRAINER,Entrainer,ACCOMPAGNER
REGULER,Réguler,CONTROLER
SURVEILLER,Surveiller,CONTROLER
ASSURER,Assurer,CREER_PRODUIRE
